epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6066414,0.67957705635013,0.001,0.6956818103790283,0.6453710816123269
1,0.8303283,0.5845990247919102,0.001,0.8243181705474854,0.5550747908245434
2,0.8971212,0.4440602779749668,0.001,0.8954545259475708,0.3980991640957919
3,0.95055556,0.28335994669885345,0.001,0.9393181800842285,0.2533225510337136
4,0.9668939,0.17685580122651476,0.001,0.9622727036476135,0.17268535326827655
5,0.9721717,0.12390021103801149,0.001,0.9577272534370422,0.13750671595335007
6,0.97641414,0.09506062672896819,0.001,0.9595454335212708,0.1269918440553275
7,0.98083335,0.07590083708365758,0.001,0.9638636112213135,0.1108734891089526
8,0.9835606,0.06511941423921874,0.001,0.962045431137085,0.09915004422718829
9,0.987702,0.051546392076545294,0.001,0.9645454287528992,0.10182227994907986
10,0.99060607,0.044066186085192846,0.001,0.9681817889213562,0.08637293101034381
11,0.99330807,0.035450963797141806,0.001,0.9672726988792419,0.0891214639016173
12,0.994697,0.03018185595144527,0.001,0.965681791305542,0.08610476073216308
13,0.99598485,0.024750861259120883,0.001,0.964090883731842,0.0989370273900303
14,0.9978283,0.01986548306213485,0.001,0.9643181562423706,0.08951709203760733
15,0.9990404,0.015490672458903959,0.00067000004,0.9661363363265991,0.08582468650219115
16,0.9993182,0.01388977483742767,0.00067000004,0.9634090662002563,0.10031501611525362
17,0.9995202,0.012391971523563068,0.00067000004,0.9643181562423706,0.09286732822656632
18,0.9996717,0.010620268725536086,0.0004489,0.9645454287528992,0.09691407069733197
